카테고리,상품명,가격,작성일자,판매상태,URL
디지털기기,갤럭시 s10 G973 4G모델 젤리 케이스 3개,"5,000원",47초 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s10-g973-4g%EB%AA%A8%EB%8D%B8-%EC%A0%A4%EB%A6%AC-%EC%BC%80%EC%9D%B4%EC%8A%A4-3%EA%B0%9C-zxpnk356jhf5/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,삼성 32인치 4k 커브드 모니터 S32BG850 팝니다,"600,000원",끌올 15분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-32%EC%9D%B8%EC%B9%98-4k-%EC%BB%A4%EB%B8%8C%EB%93%9C-%EB%AA%A8%EB%8B%88%ED%84%B0-s32bg850-%ED%8C%9D%EB%8B%88%EB%8B%A4-k1jq84x82ctr/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,애플 에어팟 프로 2세대 c타입,"150,000원",15분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A0%ED%94%8C-%EC%97%90%EC%96%B4%ED%8C%9F-%ED%94%84%EB%A1%9C-2%EC%84%B8%EB%8C%80-c%ED%83%80%EC%9E%85-mjax489oqbgw/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,아이패드 미니 7세대 A17pro 256GB 퍼플,"750,000원",끌올 18분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8C%A8%EB%93%9C-%EB%AF%B8%EB%8B%88-7%EC%84%B8%EB%8C%80-a17pro-256gb-%ED%8D%BC%ED%94%8C-9pxzgkw3aa7t/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,Flashforge Adventurer 3 3D 프린터,"120,000원",32분 전,판매중,https://www.daangn.com/kr/buy-sell/flashforge-adventurer-3-3d-%ED%94%84%EB%A6%B0%ED%84%B0-unomjwra2xon/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,XFX 라데온 RX 7900 GRE 화이트 그래픽카드,"690,000원",끌올 34분 전,판매중,https://www.daangn.com/kr/buy-sell/xfx-%EB%9D%BC%EB%8D%B0%EC%98%A8-rx-7900-gre-%ED%99%94%EC%9D%B4%ED%8A%B8-%EA%B7%B8%EB%9E%98%ED%94%BD%EC%B9%B4%EB%93%9C-uwavb7yevbpf/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,아이켈라이트 니콘 D700 수중촬영 하우징 풀세트,"3,500,000원",끌올 43분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%EC%BC%88%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EB%8B%88%EC%BD%98-d700-%EC%88%98%EC%A4%91%EC%B4%AC%EC%98%81-%ED%95%98%EC%9A%B0%EC%A7%95-%ED%92%80%EC%84%B8%ED%8A%B8-5t91mmyxc7pa/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,키크론 K3 무선 기계식 키보드 적축,"30,000원",끌올 46분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%82%A4%ED%81%AC%EB%A1%A0-k3-%EB%AC%B4%EC%84%A0-%EA%B8%B0%EA%B3%84%EC%8B%9D-%ED%82%A4%EB%B3%B4%EB%93%9C-%EC%A0%81%EC%B6%95-s4qty7ibruf6/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,애플워치 나이키 44mm,"100,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98-%EB%82%98%EC%9D%B4%ED%82%A4-44mm-5djmuet96pfj/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
디지털기기,갤럭시 기어S3 프론티어 블루투스버전(SM-R760),"35,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-%EA%B8%B0%EC%96%B4s3-%ED%94%84%EB%A1%A0%ED%8B%B0%EC%96%B4-%EB%B8%94%EB%A3%A8%ED%88%AC%EC%8A%A4%EB%B2%84%EC%A0%84-sm-r760-oyxq573spj3h/?in=%EC%86%A1%EB%8F%84%EB%8F%99-6543
