카테고리,상품명,가격,작성일자,판매상태,URL
디지털기기,브리츠 BA-FU2 우드 스피커 블루투스 스피커,"30,000원",끌올 56분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B8%8C%EB%A6%AC%EC%B8%A0-ba-fu2-%EC%9A%B0%EB%93%9C-%EC%8A%A4%ED%94%BC%EC%BB%A4-%EB%B8%94%EB%A3%A8%ED%88%AC%EC%8A%A4-%EC%8A%A4%ED%94%BC%EC%BB%A4-8wt8cwqnydk6/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,캐논 EOS 450D 바디 + 기본번들렌즈 + EF 50mm f/1.8 단렌즈 판매,"280,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BA%90%EB%85%BC-eos-450d-%EB%B0%94%EB%94%94-%EA%B8%B0%EB%B3%B8%EB%B2%88%EB%93%A4%EB%A0%8C%EC%A6%88-ef-50mm-f-1-8-%EB%8B%A8%EB%A0%8C%EC%A6%88-%ED%8C%90%EB%A7%A4-b7rx21676ph8/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,CORSAIR MP600 ELITE 2TB FOR PS5,"140,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/corsair-mp600-elite-2tb-for-ps5-yu5wqrhfb5id/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,티피링크 24포트 기가비트 스위치 허브(TP Link TL-SG1024),"50,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8B%B0%ED%94%BC%EB%A7%81%ED%81%AC-24%ED%8F%AC%ED%8A%B8-%EA%B8%B0%EA%B0%80%EB%B9%84%ED%8A%B8-%EC%8A%A4%EC%9C%84%EC%B9%98-%ED%97%88%EB%B8%8C-tp-link-tl-sg1024-pzwq98g766vg/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,노트북/패드 파우치,"4,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%A8%EB%93%9C-%ED%8C%8C%EC%9A%B0%EC%B9%98-6czp1s5bk62q/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,아이패드 미니7 Wi-Fi 128GB 미개봉,"630,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8C%A8%EB%93%9C-%EB%AF%B8%EB%8B%887-wi-fi-128gb-%EB%AF%B8%EA%B0%9C%EB%B4%89-d1on53btrzhm/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,삼성 48인치 LED TV,"30,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-48%EC%9D%B8%EC%B9%98-led-tv-dtmhejn1bafi/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,아이폰 16 Plus 블랙 지급제 팝니다,"1,100,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16-plus-%EB%B8%94%EB%9E%99-%EC%A7%80%EA%B8%89%EC%A0%9C-%ED%8C%9D%EB%8B%88%EB%8B%A4-pfkienoj4gq8/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,슈어 이어폰 SE846 클리어 풀박스 SHURE SE846,"495,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%88%EC%96%B4-%EC%9D%B4%EC%96%B4%ED%8F%B0-se846-%ED%81%B4%EB%A6%AC%EC%96%B4-%ED%92%80%EB%B0%95%EC%8A%A4-shure-se846-dfavvpx6jkh4/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
디지털기기,갤럭시s24 514기가 바이올렛 자급제폰 거의새것 교환이나 판매,"880,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9Cs24-514%EA%B8%B0%EA%B0%80-%EB%B0%94%EC%9D%B4%EC%98%AC%EB%A0%9B-%EC%9E%90%EA%B8%89%EC%A0%9C%ED%8F%B0-%EA%B1%B0%EC%9D%98%EC%83%88%EA%B2%83-%EA%B5%90%ED%99%98%EC%9D%B4%EB%82%98-%ED%8C%90%EB%A7%A4-5hvg31h9zbyn/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
