카테고리,상품명,가격,작성일자,판매상태,URL
식물,토끼 귀 선인장,"2,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%86%A0%EB%81%BC-%EA%B7%80-%EC%84%A0%EC%9D%B8%EC%9E%A5-mcftgyp9idjx/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,(노지월동)꽃대 생긴 흰섬초롱,"7,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%85%B8%EC%A7%80%EC%9B%94%EB%8F%99-%EA%BD%83%EB%8C%80-%EC%83%9D%EA%B8%B4-%ED%9D%B0%EC%84%AC%EC%B4%88%EB%A1%B1-64sndcygfh3r/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,프렌치 메리골드(2포트4포기),"3,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%94%84%EB%A0%8C%EC%B9%98-%EB%A9%94%EB%A6%AC%EA%B3%A8%EB%93%9C-2%ED%8F%AC%ED%8A%B84%ED%8F%AC%EA%B8%B0-gie5w871acrk/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,(노지월동)분홍 달맞이꽃 화분,"10,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%85%B8%EC%A7%80%EC%9B%94%EB%8F%99-%EB%B6%84%ED%99%8D-%EB%8B%AC%EB%A7%9E%EC%9D%B4%EA%BD%83-%ED%99%94%EB%B6%84-oss68p2payor/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,봉선화 모종,"1,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B4%89%EC%84%A0%ED%99%94-%EB%AA%A8%EC%A2%85-sy13yvds65ed/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,분홍낮달맞이꽃 (노지월동),"2,000원",5시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B6%84%ED%99%8D%EB%82%AE%EB%8B%AC%EB%A7%9E%EC%9D%B4%EA%BD%83-%EB%85%B8%EC%A7%80%EC%9B%94%EB%8F%99-oz2z7tz2xrys/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,"(노지,화분월동)낮달맞이꽃","1,000원",5시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%85%B8%EC%A7%80-%ED%99%94%EB%B6%84%EC%9B%94%EB%8F%99-%EB%82%AE%EB%8B%AC%EB%A7%9E%EC%9D%B4%EA%BD%83-hgx8par83k64/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,(노지월동)분홍달맞이꽃,"5,000원",5시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%85%B8%EC%A7%80%EC%9B%94%EB%8F%99-%EB%B6%84%ED%99%8D%EB%8B%AC%EB%A7%9E%EC%9D%B4%EA%BD%83-2g725r8o8ye5/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,끈끈이대나물 꽃 (예쁜 화분 포함),"7,000원",5시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%81%88%EB%81%88%EC%9D%B4%EB%8C%80%EB%82%98%EB%AC%BC-%EA%BD%83-%EC%98%88%EC%81%9C-%ED%99%94%EB%B6%84-%ED%8F%AC%ED%95%A8-yowcgv31vbhh/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
식물,*오픈이벤트* (4+3) 사라작약 7송이 >>>만원<<< 오늘만!!,"10,000원",6시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%98%A4%ED%94%88%EC%9D%B4%EB%B2%A4%ED%8A%B8-4-3-%EC%82%AC%EB%9D%BC%EC%9E%91%EC%95%BD-7%EC%86%A1%EC%9D%B4-%EB%A7%8C%EC%9B%90-%EC%98%A4%EB%8A%98%EB%A7%8C-mk7v3v3a6k1u/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
