카테고리,상품명,가격,작성일자,판매상태,URL
여성의류,흰색 긴팔 티셔츠,"5,000원",끌올 3분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%9D%B0%EC%83%89-%EA%B8%B4%ED%8C%94-%ED%8B%B0%EC%85%94%EC%B8%A0-fciwsarugs44/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,마가린핑거스 핀턱 블라우스,"88,000원",끌올 3분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A7%88%EA%B0%80%EB%A6%B0%ED%95%91%EA%B1%B0%EC%8A%A4-%ED%95%80%ED%84%B1-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4-orbd8kab27q8/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,다이앤본퍼스텐버그 원피스 0 사이즈,"45,000원",끌올 5분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8B%A4%EC%9D%B4%EC%95%A4%EB%B3%B8%ED%8D%BC%EC%8A%A4%ED%85%90%EB%B2%84%EA%B7%B8-%EC%9B%90%ED%94%BC%EC%8A%A4-0-%EC%82%AC%EC%9D%B4%EC%A6%88-6i3r1w5mk32r/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,[미개봉]꼼데가르송 브이넥 가디건 M 블랙,"350,000원",끌올 7분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EA%BC%BC%EB%8D%B0%EA%B0%80%EB%A5%B4%EC%86%A1-%EB%B8%8C%EC%9D%B4%EB%84%A5-%EA%B0%80%EB%94%94%EA%B1%B4-m-%EB%B8%94%EB%9E%99-wrn59x72cdta/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,샤넬 트위드 코트 55(38),"1,850,000원",끌올 9분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%8A%B8%EC%9C%84%EB%93%9C-%EC%BD%94%ED%8A%B8-55-38-t3cyciwmmvg4/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,발망 블레이져 자켓,"1,700,000원",끌올 10분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B0%9C%EB%A7%9D-%EB%B8%94%EB%A0%88%EC%9D%B4%EC%A0%B8-%EC%9E%90%EC%BC%93-2rqahhc2ejdg/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,투아모트 레이어드 탑,"19,000원",끌올 10분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%88%AC%EC%95%84%EB%AA%A8%ED%8A%B8-%EB%A0%88%EC%9D%B4%EC%96%B4%EB%93%9C-%ED%83%91-i1mrf83am526/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,예쁜 하이웨스트 흑청 스키니 팬츠 골반 아일렛m,"19,000원",12분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%98%88%EC%81%9C-%ED%95%98%EC%9D%B4%EC%9B%A8%EC%8A%A4%ED%8A%B8-%ED%9D%91%EC%B2%AD-%EC%8A%A4%ED%82%A4%EB%8B%88-%ED%8C%AC%EC%B8%A0-%EA%B3%A8%EB%B0%98-%EC%95%84%EC%9D%BC%EB%A0%9Bm-55koa7p8kueu/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,bebe 미국구매 드레스 섹시원피스 made in USA,"25,000원",15분 전,판매중,https://www.daangn.com/kr/buy-sell/bebe-%EB%AF%B8%EA%B5%AD%EA%B5%AC%EB%A7%A4-%EB%93%9C%EB%A0%88%EC%8A%A4-%EC%84%B9%EC%8B%9C%EC%9B%90%ED%94%BC%EC%8A%A4-made-in-usa-ptm7qtwtij6g/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,[새상품] 블랙 슬립 숏원피스 홈웨어 🖤,"15,000원",21분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EB%B8%94%EB%9E%99-%EC%8A%AC%EB%A6%BD-%EC%88%8F%EC%9B%90%ED%94%BC%EC%8A%A4-%ED%99%88%EC%9B%A8%EC%96%B4-ourbg75ghsuv/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,이사 급처!!마하그리드 후드티 그레이,"23,500원",끌올 26분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9D%B4%EC%82%AC-%EA%B8%89%EC%B2%98-%EB%A7%88%ED%95%98%EA%B7%B8%EB%A6%AC%EB%93%9C-%ED%9B%84%EB%93%9C%ED%8B%B0-%EA%B7%B8%EB%A0%88%EC%9D%B4-cie56jo12p9z/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,이사급처‼️ 나이키 저지/ 맨투맨/트레이닝 바지 등,"7,500원",끌올 26분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9D%B4%EC%82%AC%EA%B8%89%EC%B2%98-%EB%82%98%EC%9D%B4%ED%82%A4-%EC%A0%80%EC%A7%80-%EB%A7%A8%ED%88%AC%EB%A7%A8-%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D-%EB%B0%94%EC%A7%80-%EB%93%B1-b15h6tgm1mup/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,마스터바니 티 100호,"25,000원",29분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A7%88%EC%8A%A4%ED%84%B0%EB%B0%94%EB%8B%88-%ED%8B%B0-100%ED%98%B8-vo9ybz8b6c9i/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,캡나시 블랙 크롭,"5,000원",31분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BA%A1%EB%82%98%EC%8B%9C-%EB%B8%94%EB%9E%99-%ED%81%AC%EB%A1%AD-hpxemye95jf6/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,[새상품] 골지 크롭 티셔츠 2개 일괄,"6,000원",34분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EA%B3%A8%EC%A7%80-%ED%81%AC%EB%A1%AD-%ED%8B%B0%EC%85%94%EC%B8%A0-2%EA%B0%9C-%EC%9D%BC%EA%B4%84-j87m3ji25a2n/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,유니클로 jw 앤더슨 셔츠원피스,"25,000원",끌올 38분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9C%A0%EB%8B%88%ED%81%B4%EB%A1%9C-jw-%EC%95%A4%EB%8D%94%EC%8A%A8-%EC%85%94%EC%B8%A0%EC%9B%90%ED%94%BC%EC%8A%A4-rewisfb92ge7/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
여성의류,스포티앤리치 티셔츠 새상품 (정가 119000),"50,000원",끌올 39분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%8F%AC%ED%8B%B0%EC%95%A4%EB%A6%AC%EC%B9%98-%ED%8B%B0%EC%85%94%EC%B8%A0-%EC%83%88%EC%83%81%ED%92%88-%EC%A0%95%EA%B0%80-119000-b6g8nd2ut47o/?in=%EB%85%BC%ED%98%84%EB%8F%99-6031
