카테고리,상품명,가격,작성일자,판매상태,URL
가공식품,꼬르띠호 마르케스 2병 올리브오일,"80,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%BC%AC%EB%A5%B4%EB%9D%A0%ED%98%B8-%EB%A7%88%EB%A5%B4%EC%BC%80%EC%8A%A4-2%EB%B3%91-%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%A4%EC%9D%BC-34ka9i6dgdmx/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,산양유초유단백질 150g 미개봉새상품,"10,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%B0%EC%96%91%EC%9C%A0%EC%B4%88%EC%9C%A0%EB%8B%A8%EB%B0%B1%EC%A7%88-150g-%EB%AF%B8%EA%B0%9C%EB%B4%89%EC%83%88%EC%83%81%ED%92%88-yh8fimi1iygn/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,트레이더조 레드페퍼 34g (새상품),"10,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8D%94%EC%A1%B0-%EB%A0%88%EB%93%9C%ED%8E%98%ED%8D%BC-34g-%EC%83%88%EC%83%81%ED%92%88-xgug2ickffhz/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,"네스프레소 버츄오 캡슐 (더블에스프레소 돌체2, 카이로2, 스쿠로1, 비비다1)","50,500원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%84%A4%EC%8A%A4%ED%94%84%EB%A0%88%EC%86%8C-%EB%B2%84%EC%B8%84%EC%98%A4-%EC%BA%A1%EC%8A%90-%EB%8D%94%EB%B8%94%EC%97%90%EC%8A%A4%ED%94%84%EB%A0%88%EC%86%8C-%EB%8F%8C%EC%B2%B42-%EC%B9%B4%EC%9D%B4%EB%A1%9C2-%EC%8A%A4%EC%BF%A0%EB%A1%9C1-%EB%B9%84%EB%B9%84%EB%8B%A41-a6gt9ap24vww/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,청정원 스페셜 7종 세트 새상품,"21,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B2%AD%EC%A0%95%EC%9B%90-%EC%8A%A4%ED%8E%98%EC%85%9C-7%EC%A2%85-%EC%84%B8%ED%8A%B8-%EC%83%88%EC%83%81%ED%92%88-mnkbvn9oztwq/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,벤토 매운 오징어 스낵 19개,"10,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%A4%ED%86%A0-%EB%A7%A4%EC%9A%B4-%EC%98%A4%EC%A7%95%EC%96%B4-%EC%8A%A4%EB%82%B5-19%EA%B0%9C-bt46dn3anv14/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,Tea Animo 블렌딩 티 선물세트,"35,000원",끌올 6시간 전,판매중,https://www.daangn.com/kr/buy-sell/tea-animo-%EB%B8%94%EB%A0%8C%EB%94%A9-%ED%8B%B0-%EC%84%A0%EB%AC%BC%EC%84%B8%ED%8A%B8-v95q93mn2cku/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,"플라이밀 브라운 17곡,돌체라떼","15,000원",7시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%B0%80-%EB%B8%8C%EB%9D%BC%EC%9A%B4-17%EA%B3%A1-%EB%8F%8C%EC%B2%B4%EB%9D%BC%EB%96%BC-kavwrs9dg6n6/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,(선물용) 연두커피 콜드브루 더치블랙 2병세트 (박스/쇼핑백 포함),"52,000원",9시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%84%A0%EB%AC%BC%EC%9A%A9-%EC%97%B0%EB%91%90%EC%BB%A4%ED%94%BC-%EC%BD%9C%EB%93%9C%EB%B8%8C%EB%A3%A8-%EB%8D%94%EC%B9%98%EB%B8%94%EB%9E%99-2%EB%B3%91%EC%84%B8%ED%8A%B8-%EB%B0%95%EC%8A%A4-%EC%87%BC%ED%95%91%EB%B0%B1-%ED%8F%AC%ED%95%A8-79fyvrnooqb1/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,완도 섬마을 세트,"30,000원",끌올 11시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%99%84%EB%8F%84-%EC%84%AC%EB%A7%88%EC%9D%84-%EC%84%B8%ED%8A%B8-dx99bvtk63b3/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,참다한 녹용홍삼진액 50ml x 10포 / 미개봉상품,"36,000원",끌올 11시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B0%B8%EB%8B%A4%ED%95%9C-%EB%85%B9%EC%9A%A9%ED%99%8D%EC%82%BC%EC%A7%84%EC%95%A1-50ml-x-10%ED%8F%AC-%EB%AF%B8%EA%B0%9C%EB%B4%89%EC%83%81%ED%92%88-mbit6yo57947/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,짱구 게살 (홍게다리살100%),"15,000원",끌올 13시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A7%B1%EA%B5%AC-%EA%B2%8C%EC%82%B4-%ED%99%8D%EA%B2%8C%EB%8B%A4%EB%A6%AC%EC%82%B4100-kkd7mfar26ss/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,일본푸딩팝니다,"3,500원",끌올 13시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9D%BC%EB%B3%B8%ED%91%B8%EB%94%A9%ED%8C%9D%EB%8B%88%EB%8B%A4-hpm57jsdscps/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,동원 튜나리챔 11호 선물세트 판매합니다.,"44,000원",끌올 23시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8F%99%EC%9B%90-%ED%8A%9C%EB%82%98%EB%A6%AC%EC%B1%94-11%ED%98%B8-%EC%84%A0%EB%AC%BC%EC%84%B8%ED%8A%B8-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-eeganz16kump/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,고급 티백 56개,"8,000원",23시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B3%A0%EA%B8%89-%ED%8B%B0%EB%B0%B1-56%EA%B0%9C-upam45p17sfs/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,정관장 홍삼정 듀얼 세트,"110,000원",24시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%EA%B4%80%EC%9E%A5-%ED%99%8D%EC%82%BC%EC%A0%95-%EB%93%80%EC%96%BC-%EC%84%B8%ED%8A%B8-7syqctxqenmy/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,블랙99 흑삼 아르기닌 새상품 + 캘리포니아골드 뉴트리션 CGN 일렉트로라이트파우더,"6,500원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B8%94%EB%9E%9999-%ED%9D%91%EC%82%BC-%EC%95%84%EB%A5%B4%EA%B8%B0%EB%8B%8C-%EC%83%88%EC%83%81%ED%92%88-%EC%BA%98%EB%A6%AC%ED%8F%AC%EB%8B%88%EC%95%84%EA%B3%A8%EB%93%9C-%EB%89%B4%ED%8A%B8%EB%A6%AC%EC%85%98-cgn-%EC%9D%BC%EB%A0%89%ED%8A%B8%EB%A1%9C%EB%9D%BC%EC%9D%B4%ED%8A%B8%ED%8C%8C%EC%9A%B0%EB%8D%94-iurfzdwm8t3f/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,"매콤한 고추장 소스, 불한당 소스 700g","2,500원",1일 전,판매완료,https://www.daangn.com/kr/buy-sell/%EB%A7%A4%EC%BD%A4%ED%95%9C-%EA%B3%A0%EC%B6%94%EC%9E%A5-%EC%86%8C%EC%8A%A4-%EB%B6%88%ED%95%9C%EB%8B%B9-%EC%86%8C%EC%8A%A4-700g-bq4y6kbcox1o/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,홍삼톤50ml60포,"100,000원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%99%8D%EC%82%BC%ED%86%A450ml60%ED%8F%AC-6xejwuhgz2pk/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,다이어트 단백질 간식 모음/애사비/라칸토 캔디,"30,000원",1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8-%EB%8B%A8%EB%B0%B1%EC%A7%88-%EA%B0%84%EC%8B%9D-%EB%AA%A8%EC%9D%8C-%EC%95%A0%EC%82%AC%EB%B9%84-%EB%9D%BC%EC%B9%B8%ED%86%A0-%EC%BA%94%EB%94%94-qc6ahpif3ops/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,몬스터 에너지 울트라 24개,"29,000원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AA%AC%EC%8A%A4%ED%84%B0-%EC%97%90%EB%84%88%EC%A7%80-%EC%9A%B8%ED%8A%B8%EB%9D%BC-24%EA%B0%9C-u2vtq7vto5tk/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,미개봉 요거구나 저당 그래놀라 250g,"7,500원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%9A%94%EA%B1%B0%EA%B5%AC%EB%82%98-%EC%A0%80%EB%8B%B9-%EA%B7%B8%EB%9E%98%EB%86%80%EB%9D%BC-250g-wuuijek492i8/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가공식품,그레인스 쿠키 컬렉션,"17,000원",1일 전,예약중,https://www.daangn.com/kr/buy-sell/%EA%B7%B8%EB%A0%88%EC%9D%B8%EC%8A%A4-%EC%BF%A0%ED%82%A4-%EC%BB%AC%EB%A0%89%EC%85%98-x3kxdco8amp8/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
