카테고리,상품명,가격,작성일자,판매상태,URL
가구/인테리어,고양이 발바닥 모양 말랑이,"2,000원",끌올 11분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B3%A0%EC%96%91%EC%9D%B4-%EB%B0%9C%EB%B0%94%EB%8B%A5-%EB%AA%A8%EC%96%91-%EB%A7%90%EB%9E%91%EC%9D%B4-f1iei1fdrm6h/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,1000*600 사무용 책상 지금 오시면 개당 만원,"10,000원",14분 전,판매중,https://www.daangn.com/kr/buy-sell/1000-600-%EC%82%AC%EB%AC%B4%EC%9A%A9-%EC%B1%85%EC%83%81-%EC%A7%80%EA%B8%88-%EC%98%A4%EC%8B%9C%EB%A9%B4-%EA%B0%9C%EB%8B%B9-%EB%A7%8C%EC%9B%90-ku4vsuvpdj84/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,1400*600 사무용 책상 지금 오시면 한개 만원,"10,000원",16분 전,판매중,https://www.daangn.com/kr/buy-sell/1400-600-%EC%82%AC%EB%AC%B4%EC%9A%A9-%EC%B1%85%EC%83%81-%EC%A7%80%EA%B8%88-%EC%98%A4%EC%8B%9C%EB%A9%B4-%ED%95%9C%EA%B0%9C-%EB%A7%8C%EC%9B%90-omvkxn5o4f6q/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,이케아 책상(1층까지 배송가능),"80,000원",끌올 23분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9D%B4%EC%BC%80%EC%95%84-%EC%B1%85%EC%83%81-1%EC%B8%B5%EA%B9%8C%EC%A7%80-%EB%B0%B0%EC%86%A1%EA%B0%80%EB%8A%A5-4r8ieymin9fj/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,라탄 꽃바구니,"6,000원",48분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%9D%BC%ED%83%84-%EA%BD%83%EB%B0%94%EA%B5%AC%EB%8B%88-cx97wfk8mfkh/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,킬랭캠프 키링 일괄,"5,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%82%AC%EB%9E%AD%EC%BA%A0%ED%94%84-%ED%82%A4%EB%A7%81-%EC%9D%BC%EA%B4%84-j3ippbcekay8/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,입간판 물통배너,"20,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9E%85%EA%B0%84%ED%8C%90-%EB%AC%BC%ED%86%B5%EB%B0%B0%EB%84%88-fjqz74ik3usz/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,이태리 도자기 꽃병,"63,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9D%B4%ED%83%9C%EB%A6%AC-%EB%8F%84%EC%9E%90%EA%B8%B0-%EA%BD%83%EB%B3%91-4jpghqyyb31y/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,"책상, 서랍 세트 (1세트당 2만원)","20,000원",끌올 2시간 전,예약중,https://www.daangn.com/kr/buy-sell/%EC%B1%85%EC%83%81-%EC%84%9C%EB%9E%8D-%EC%84%B8%ED%8A%B8-1%EC%84%B8%ED%8A%B8%EB%8B%B9-2%EB%A7%8C%EC%9B%90-ij2bq3jyecg4/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
가구/인테리어,엔틱 빈티지 스테인드글라스 튤립 티라이트 받침 소품,"35,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%94%ED%8B%B1-%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%8A%A4%ED%85%8C%EC%9D%B8%EB%93%9C%EA%B8%80%EB%9D%BC%EC%8A%A4-%ED%8A%A4%EB%A6%BD-%ED%8B%B0%EB%9D%BC%EC%9D%B4%ED%8A%B8-%EB%B0%9B%EC%B9%A8-%EC%86%8C%ED%92%88-zhsox2wiibn9/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
