카테고리,상품명,가격,작성일자,판매상태,URL
삽니다,5월27일28일29일 한화엘지 티켓 삽니다,가격 없음,3시간 전,판매중,https://www.daangn.com/kr/buy-sell/5%EC%9B%9427%EC%9D%BC28%EC%9D%BC29%EC%9D%BC-%ED%95%9C%ED%99%94%EC%97%98%EC%A7%80-%ED%8B%B0%EC%BC%93-%EC%82%BD%EB%8B%88%EB%8B%A4-uv4ex3jsnwkk/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,로드 자전거 구매해봐요 mtb도 좋아요,"100,000원",6시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A1%9C%EB%93%9C-%EC%9E%90%EC%A0%84%EA%B1%B0-%EA%B5%AC%EB%A7%A4%ED%95%B4%EB%B4%90%EC%9A%94-mtb%EB%8F%84-%EC%A2%8B%EC%95%84%EC%9A%94-uu3xtqmxyduq/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,[교환] 별쿠->프리퀀시 교환하실 분! (쿠폰 1장 ->프리퀀시 미션),가격 없음,끌올 6시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B5%90%ED%99%98-%EB%B3%84%EC%BF%A0-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EA%B5%90%ED%99%98%ED%95%98%EC%8B%A4-%EB%B6%84-%EC%BF%A0%ED%8F%B0-1%EC%9E%A5-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EB%AF%B8%EC%85%98-4t8os3kraj34/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,컴퓨터 풀세트사요,"450,000원",끌올 7시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BB%B4%ED%93%A8%ED%84%B0-%ED%92%80%EC%84%B8%ED%8A%B8%EC%82%AC%EC%9A%94-dbzf6o35n1n3/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,스벅 아이스 아메리카노 기프티콘 삽니다,"3,800원",7시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%EB%B2%85-%EC%95%84%EC%9D%B4%EC%8A%A4-%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8-%EA%B8%B0%ED%94%84%ED%8B%B0%EC%BD%98-%EC%82%BD%EB%8B%88%EB%8B%A4-dg3xu2qxosea/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,루미큐브 스플렌더 등 유명 보드게임 중고로 삽니다,"10,000원",18시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A3%A8%EB%AF%B8%ED%81%90%EB%B8%8C-%EC%8A%A4%ED%94%8C%EB%A0%8C%EB%8D%94-%EB%93%B1-%EC%9C%A0%EB%AA%85-%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84-%EC%A4%91%EA%B3%A0%EB%A1%9C-%EC%82%BD%EB%8B%88%EB%8B%A4-dg15y99x3sjd/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,육개장 6개입 1박스당 2천원에 다삽니다^^,"2,000원",24시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9C%A1%EA%B0%9C%EC%9E%A5-6%EA%B0%9C%EC%9E%85-1%EB%B0%95%EC%8A%A4%EB%8B%B9-2%EC%B2%9C%EC%9B%90%EC%97%90-%EB%8B%A4%EC%82%BD%EB%8B%88%EB%8B%A4-hcb7utmi56fe/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,벽돌 구해요,"30,000원",1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%BD%EB%8F%8C-%EA%B5%AC%ED%95%B4%EC%9A%94-ustijes64r8q/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,엔화 삽니다 10만엔정도,940원,끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%94%ED%99%94-%EC%82%BD%EB%8B%88%EB%8B%A4-10%EB%A7%8C%EC%97%94%EC%A0%95%EB%8F%84-cjohupeqtcds/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
삽니다,삽니다) AF15HVZV2WKN 호환되는 실외기 구해요,가격 없음,1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BD%EB%8B%88%EB%8B%A4-af15hvzv2wkn-%ED%98%B8%ED%99%98%EB%90%98%EB%8A%94-%EC%8B%A4%EC%99%B8%EA%B8%B0-%EA%B5%AC%ED%95%B4%EC%9A%94-t31g5g99esdm/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
