카테고리,상품명,가격,작성일자,판매상태,URL
여성의류,💙투피스 세트 셋업(새상품급),"15,000원",끌올 8분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%88%AC%ED%94%BC%EC%8A%A4-%EC%84%B8%ED%8A%B8-%EC%85%8B%EC%97%85-%EC%83%88%EC%83%81%ED%92%88%EA%B8%89-jork7phz4sds/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,🖤수입의류 투피스세트셋업-시스루 블라우스+플리츠 밴딩 스커트,"20,000원",끌올 8분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%88%98%EC%9E%85%EC%9D%98%EB%A5%98-%ED%88%AC%ED%94%BC%EC%8A%A4%EC%84%B8%ED%8A%B8%EC%85%8B%EC%97%85-%EC%8B%9C%EC%8A%A4%EB%A3%A8-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4-%ED%94%8C%EB%A6%AC%EC%B8%A0-%EB%B0%B4%EB%94%A9-%EC%8A%A4%EC%BB%A4%ED%8A%B8-8shzywgm6h19/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,💙새상품-단가라니트티 +(서비스 부츠컷트레이닝팬츠),"10,000원",끌올 9분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EB%8B%A8%EA%B0%80%EB%9D%BC%EB%8B%88%ED%8A%B8%ED%8B%B0-%EC%84%9C%EB%B9%84%EC%8A%A4-%EB%B6%80%EC%B8%A0%EC%BB%B7%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D%ED%8C%AC%EC%B8%A0-df4jydpb523q/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,구찌 꽃자수 로고 티셔츠,"220,000원",끌올 10분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B5%AC%EC%B0%8C-%EA%BD%83%EC%9E%90%EC%88%98-%EB%A1%9C%EA%B3%A0-%ED%8B%B0%EC%85%94%EC%B8%A0-3r93q2xb9qwq/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,바나나리퍼블릭 벨티드 팬츠,나눔,13분 전,판매완료,https://www.daangn.com/kr/buy-sell/%EB%B0%94%EB%82%98%EB%82%98%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AD-%EB%B2%A8%ED%8B%B0%EB%93%9C-%ED%8C%AC%EC%B8%A0-vy1wdewi693i/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,새상품) 여성 의류. 여름 데님 원피스 77,"25,000원",21분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%97%AC%EC%84%B1-%EC%9D%98%EB%A5%98-%EC%97%AC%EB%A6%84-%EB%8D%B0%EB%8B%98-%EC%9B%90%ED%94%BC%EC%8A%A4-77-97jrbde6rpix/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,마쥬 플로럴 플레어스커트,"70,000원",28분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A7%88%EC%A5%AC-%ED%94%8C%EB%A1%9C%EB%9F%B4-%ED%94%8C%EB%A0%88%EC%96%B4%EC%8A%A4%EC%BB%A4%ED%8A%B8-bn4ehzmi5qh9/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,모조에스핀 자켓,"35,000원",끌올 41분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AA%A8%EC%A1%B0%EC%97%90%EC%8A%A4%ED%95%80-%EC%9E%90%EC%BC%93-vfy4zt6rg12p/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,디올 Caro 자켓 한소희가 입었던,"780,000원",47분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%94%94%EC%98%AC-caro-%EC%9E%90%EC%BC%93-%ED%95%9C%EC%86%8C%ED%9D%AC%EA%B0%80-%EC%9E%85%EC%97%88%EB%8D%98-x1sx7qao3n4y/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,PROST J 프로스트제이 롱스커트 새상품🥰,"10,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/prost-j-%ED%94%84%EB%A1%9C%EC%8A%A4%ED%8A%B8%EC%A0%9C%EC%9D%B4-%EB%A1%B1%EC%8A%A4%EC%BB%A4%ED%8A%B8-%EC%83%88%EC%83%81%ED%92%88-7m5386uq1vz2/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,새틴 롱 스커트 S 새상품 ❤️,"10,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%ED%8B%B4-%EB%A1%B1-%EC%8A%A4%EC%BB%A4%ED%8A%B8-s-%EC%83%88%EC%83%81%ED%92%88-bg58easqsrgo/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,버버리 흰색 목폴라,"55,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%84%EB%B2%84%EB%A6%AC-%ED%9D%B0%EC%83%89-%EB%AA%A9%ED%8F%B4%EB%9D%BC-2xmfki5nuxy4/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,앵두체리 여름 블라우스(새제품),"20,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%B5%EB%91%90%EC%B2%B4%EB%A6%AC-%EC%97%AC%EB%A6%84-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4-%EC%83%88%EC%A0%9C%ED%92%88-si2o8cf3z3ac/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,여름 잔꽃 블라우스 (새제품),"22,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%AC%EB%A6%84-%EC%9E%94%EA%BD%83-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4-%EC%83%88%EC%A0%9C%ED%92%88-645348bbpk55/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,"옷장정리(블라우스, 가디건 등)","7,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%98%B7%EC%9E%A5%EC%A0%95%EB%A6%AC-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4-%EA%B0%80%EB%94%94%EA%B1%B4-%EB%93%B1-wfmkwfzet45a/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,아디다스 후드 티셔츠,"25,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EB%94%94%EB%8B%A4%EC%8A%A4-%ED%9B%84%EB%93%9C-%ED%8B%B0%EC%85%94%EC%B8%A0-18p9puozw6nu/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,세인트앤드류스 (m)55,"105,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%84%B8%EC%9D%B8%ED%8A%B8%EC%95%A4%EB%93%9C%EB%A5%98%EC%8A%A4-m-55-fmymix8wdhea/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,풋조이니트(새상품),"65,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%92%8B%EC%A1%B0%EC%9D%B4%EB%8B%88%ED%8A%B8-%EC%83%88%EC%83%81%ED%92%88-2m6wijxyrz3f/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성의류,정품 질샌더바지(새상품),"95,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%ED%92%88-%EC%A7%88%EC%83%8C%EB%8D%94%EB%B0%94%EC%A7%80-%EC%83%88%EC%83%81%ED%92%88-g92cqrof9cgt/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
