카테고리,상품명,가격,작성일자,판매상태,URL
여성잡화,나이키 덩크 로우 빈티지 레드 W275,"95,000원",끌올 46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-%EB%8D%A9%ED%81%AC-%EB%A1%9C%EC%9A%B0-%EB%B9%88%ED%8B%B0%EC%A7%80-%EB%A0%88%EB%93%9C-w275-5pk4mrqgfu74/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,바나나리퍼블릭 체인 숄더백 클러치백,"18,000원",끌올 50분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B0%94%EB%82%98%EB%82%98%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AD-%EC%B2%B4%EC%9D%B8-%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%B4%EB%9F%AC%EC%B9%98%EB%B0%B1-7w8u311hjjvp/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,급처분) 멀버리 베이스워터 지퍼 스몰 토트백 블랙,"540,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B8%89%EC%B2%98%EB%B6%84-%EB%A9%80%EB%B2%84%EB%A6%AC-%EB%B2%A0%EC%9D%B4%EC%8A%A4%EC%9B%8C%ED%84%B0-%EC%A7%80%ED%8D%BC-%EC%8A%A4%EB%AA%B0-%ED%86%A0%ED%8A%B8%EB%B0%B1-%EB%B8%94%EB%9E%99-wc97uqrd8bty/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,샤넬 코코크러쉬 미니 반지 54사이즈,"1,900,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%BD%94%EC%BD%94%ED%81%AC%EB%9F%AC%EC%89%AC-%EB%AF%B8%EB%8B%88-%EB%B0%98%EC%A7%80-54%EC%82%AC%EC%9D%B4%EC%A6%88-8qrzmcjmhe9u/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,셀린느 틸리백 은장,"2,700,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%85%80%EB%A6%B0%EB%8A%90-%ED%8B%B8%EB%A6%AC%EB%B0%B1-%EC%9D%80%EC%9E%A5-c21m9cyh2wfs/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,루이비통 쁘띠뜨 말 수플 백,"3,000,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A3%A8%EC%9D%B4%EB%B9%84%ED%86%B5-%EC%81%98%EB%9D%A0%EB%9C%A8-%EB%A7%90-%EC%88%98%ED%94%8C-%EB%B0%B1-gcem5eikhpts/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,크록스 바야밴드 클로그 검정 240 새상품,"47,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%81%AC%EB%A1%9D%EC%8A%A4-%EB%B0%94%EC%95%BC%EB%B0%B4%EB%93%9C-%ED%81%B4%EB%A1%9C%EA%B7%B8-%EA%B2%80%EC%A0%95-240-%EC%83%88%EC%83%81%ED%92%88-4s2ukehxy8o3/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,에르메스 브라운 가죽 벨트,"900,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%90%EB%A5%B4%EB%A9%94%EC%8A%A4-%EB%B8%8C%EB%9D%BC%EC%9A%B4-%EA%B0%80%EC%A3%BD-%EB%B2%A8%ED%8A%B8-jamo4zkkhgfm/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,루이비통 파시백 새제품급 판매,"2,200,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A3%A8%EC%9D%B4%EB%B9%84%ED%86%B5-%ED%8C%8C%EC%8B%9C%EB%B0%B1-%EC%83%88%EC%A0%9C%ED%92%88%EA%B8%89-%ED%8C%90%EB%A7%A4-91y7hkye9jwd/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,"오늘만급처 새상품 / 나이키 여성 러닝화 인빈서블 3, 25SS 신상 컬러 235","125,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%98%A4%EB%8A%98%EB%A7%8C%EA%B8%89%EC%B2%98-%EC%83%88%EC%83%81%ED%92%88-%EB%82%98%EC%9D%B4%ED%82%A4-%EC%97%AC%EC%84%B1-%EB%9F%AC%EB%8B%9D%ED%99%94-%EC%9D%B8%EB%B9%88%EC%84%9C%EB%B8%94-3-25ss-%EC%8B%A0%EC%83%81-%EC%BB%AC%EB%9F%AC-235-5cgnqk6mf1wv/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,구찌 GG 캔버스 토트백(미니),"73,000원",2시간 전,판매완료,https://www.daangn.com/kr/buy-sell/%EA%B5%AC%EC%B0%8C-gg-%EC%BA%94%EB%B2%84%EC%8A%A4-%ED%86%A0%ED%8A%B8%EB%B0%B1-%EB%AF%B8%EB%8B%88-u1rw9d8cn4wf/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,Sie 시에 플랫뮬 샌들 230,"55,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/sie-%EC%8B%9C%EC%97%90-%ED%94%8C%EB%9E%AB%EB%AE%AC-%EC%83%8C%EB%93%A4-230-b2vjttewp7ze/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,앤아더스토리 가죽호보백,"50,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A4%EC%95%84%EB%8D%94%EC%8A%A4%ED%86%A0%EB%A6%AC-%EA%B0%80%EC%A3%BD%ED%98%B8%EB%B3%B4%EB%B0%B1-15qfp56f4yu3/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,발렌시아가 블랙 볼캡,"110,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B0%9C%EB%A0%8C%EC%8B%9C%EC%95%84%EA%B0%80-%EB%B8%94%EB%9E%99-%EB%B3%BC%EC%BA%A1-ifk73svf2tf8/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,헤븐리 젤리슈즈,"9,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%97%A4%EB%B8%90%EB%A6%AC-%EC%A0%A4%EB%A6%AC%EC%8A%88%EC%A6%88-jjmribk57qmy/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,샤넬 코코핸들 초미니,"5,250,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%BD%94%EC%BD%94%ED%95%B8%EB%93%A4-%EC%B4%88%EB%AF%B8%EB%8B%88-hzowuwp998ou/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,나이키 맥스 95 화이트 240,"70,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-%EB%A7%A5%EC%8A%A4-95-%ED%99%94%EC%9D%B4%ED%8A%B8-240-e5sw7p22uawz/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,나이키 테아 블랙 240,"10,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-%ED%85%8C%EC%95%84-%EB%B8%94%EB%9E%99-240-icwby76srzqx/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,루이까또즈 지갑 라라 스트로베리 반지갑,"50,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A3%A8%EC%9D%B4%EA%B9%8C%EB%98%90%EC%A6%88-%EC%A7%80%EA%B0%91-%EB%9D%BC%EB%9D%BC-%EC%8A%A4%ED%8A%B8%EB%A1%9C%EB%B2%A0%EB%A6%AC-%EB%B0%98%EC%A7%80%EA%B0%91-pv73vf3h44nx/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,폴뉴아 블랙 버킷백 2번 들었음,"150,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8F%B4%EB%89%B4%EC%95%84-%EB%B8%94%EB%9E%99-%EB%B2%84%ED%82%B7%EB%B0%B1-2%EB%B2%88-%EB%93%A4%EC%97%88%EC%9D%8C-97fz6u6zcaya/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,구찌 오픈토힐 10cm,"125,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B5%AC%EC%B0%8C-%EC%98%A4%ED%94%88%ED%86%A0%ED%9E%90-10cm-3tx3451vcrxr/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,240 나이키 티파니 앤 코 에어포스1,"2,500,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/240-%EB%82%98%EC%9D%B4%ED%82%A4-%ED%8B%B0%ED%8C%8C%EB%8B%88-%EC%95%A4-%EC%BD%94-%EC%97%90%EC%96%B4%ED%8F%AC%EC%8A%A41-hvzz6yc99r5h/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,끌로에 애비락 새상품,"870,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%81%8C%EB%A1%9C%EC%97%90-%EC%95%A0%EB%B9%84%EB%9D%BD-%EC%83%88%EC%83%81%ED%92%88-h3b733g9ad7k/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
여성잡화,(새것) CHUCUCHU 여성골프모자,"42,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EA%B2%83-chucuchu-%EC%97%AC%EC%84%B1%EA%B3%A8%ED%94%84%EB%AA%A8%EC%9E%90-7m29937kj4m2/?in=%EB%8C%80%EC%B9%98%EB%8F%99-6032
