카테고리,상품명,가격,작성일자,판매상태,URL
도서,중국어회화(상),"2,000원",끌올 60분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A4%91%EA%B5%AD%EC%96%B4%ED%9A%8C%ED%99%94-%EC%83%81-xy49fy1btomx/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,상담실무자를 위한 사례개념화 이해와 실제 책,"9,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%81%EB%8B%B4%EC%8B%A4%EB%AC%B4%EC%9E%90%EB%A5%BC-%EC%9C%84%ED%95%9C-%EC%82%AC%EB%A1%80%EA%B0%9C%EB%85%90%ED%99%94-%EC%9D%B4%ED%95%B4%EC%99%80-%EC%8B%A4%EC%A0%9C-%EC%B1%85-kcjfwuwze7en/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,시공 만화 디스커버리 20권 세트 택포,"25,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8B%9C%EA%B3%B5-%EB%A7%8C%ED%99%94-%EB%94%94%EC%8A%A4%EC%BB%A4%EB%B2%84%EB%A6%AC-20%EA%B6%8C-%EC%84%B8%ED%8A%B8-%ED%83%9D%ED%8F%AC-nemb1cc5gvek/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,[도서 필기X] 야근은 하기 싫은데 일은 잘하고 싶다,"4,500원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8F%84%EC%84%9C-%ED%95%84%EA%B8%B0x-%EC%95%BC%EA%B7%BC%EC%9D%80-%ED%95%98%EA%B8%B0-%EC%8B%AB%EC%9D%80%EB%8D%B0-%EC%9D%BC%EC%9D%80-%EC%9E%98%ED%95%98%EA%B3%A0-%EC%8B%B6%EB%8B%A4-sq6w3ondxgjg/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,ETS 토익 정기시험 기출문제집 4 RC 새상품 판매합니다,"13,500원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/ets-%ED%86%A0%EC%9D%B5-%EC%A0%95%EA%B8%B0%EC%8B%9C%ED%97%98-%EA%B8%B0%EC%B6%9C%EB%AC%B8%EC%A0%9C%EC%A7%91-4-rc-%EC%83%88%EC%83%81%ED%92%88-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-iifbvsmrznhy/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,새책 - 프로덕트 오너,"5,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%B1%85-%ED%94%84%EB%A1%9C%EB%8D%95%ED%8A%B8-%EC%98%A4%EB%84%88-yx8gp59nz2ko/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,용선생의 과학교실 전집📚,"300,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9A%A9%EC%84%A0%EC%83%9D%EC%9D%98-%EA%B3%BC%ED%95%99%EA%B5%90%EC%8B%A4-%EC%A0%84%EC%A7%91-7pehbzaw5z5s/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,대망 도쿠가와 이에야스 전집,"120,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8C%80%EB%A7%9D-%EB%8F%84%EC%BF%A0%EA%B0%80%EC%99%80-%EC%9D%B4%EC%97%90%EC%95%BC%EC%8A%A4-%EC%A0%84%EC%A7%91-adkn5ytyvhpy/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,한국루벤스 교과서 경제사회 전권,"40,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%95%9C%EA%B5%AD%EB%A3%A8%EB%B2%A4%EC%8A%A4-%EA%B5%90%EA%B3%BC%EC%84%9C-%EA%B2%BD%EC%A0%9C%EC%82%AC%ED%9A%8C-%EC%A0%84%EA%B6%8C-yh56s91j9iuy/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
도서,폴리 교재 저니스 JOURNEYS IN THE SPOTLIGHT,"30,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8F%B4%EB%A6%AC-%EA%B5%90%EC%9E%AC-%EC%A0%80%EB%8B%88%EC%8A%A4-journeys-in-the-spotlight-a744de8ptoo6/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
