카테고리,상품명,가격,작성일자,판매상태,URL
여성잡화,디올 3단 우산 팝니다,"70,000원",끌올 45분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%94%94%EC%98%AC-3%EB%8B%A8-%EC%9A%B0%EC%82%B0-%ED%8C%9D%EB%8B%88%EB%8B%A4-yzurnzc3pjnr/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,보테가베네타 슬링백(38),"390,000원",끌올 49분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B3%B4%ED%85%8C%EA%B0%80%EB%B2%A0%EB%84%A4%ED%83%80-%EC%8A%AC%EB%A7%81%EB%B0%B1-38-2gzib1yx51gb/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,베어파우 어그 부츠 6사이즈(230~240),"5,000원",끌올 52분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%A0%EC%96%B4%ED%8C%8C%EC%9A%B0-%EC%96%B4%EA%B7%B8-%EB%B6%80%EC%B8%A0-6%EC%82%AC%EC%9D%B4%EC%A6%88-230-240-nxnrbodnwc19/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,디올 스트라이프 북토트백,"3,135,000원",끌올 52분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%94%94%EC%98%AC-%EC%8A%A4%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%94%84-%EB%B6%81%ED%86%A0%ED%8A%B8%EB%B0%B1-eyzt8x3utg47/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,❤️ (새상품) 페라가모 그린블루 다이어리,"40,000원",끌올 52분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%ED%8E%98%EB%9D%BC%EA%B0%80%EB%AA%A8-%EA%B7%B8%EB%A6%B0%EB%B8%94%EB%A3%A8-%EB%8B%A4%EC%9D%B4%EC%96%B4%EB%A6%AC-5bvehz7piwvz/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,(정품) 루이비통 스피디 반둘리에 모노그램 20 풀구성,"2,100,000원",55분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%95%ED%92%88-%EB%A3%A8%EC%9D%B4%EB%B9%84%ED%86%B5-%EC%8A%A4%ED%94%BC%EB%94%94-%EB%B0%98%EB%91%98%EB%A6%AC%EC%97%90-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-20-%ED%92%80%EA%B5%AC%EC%84%B1-9hxhjzsrwv5q/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,디올 뷰티 파우치(새상품),"19,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%94%94%EC%98%AC-%EB%B7%B0%ED%8B%B0-%ED%8C%8C%EC%9A%B0%EC%B9%98-%EC%83%88%EC%83%81%ED%92%88-y996ux6638bt/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,샤넬 구두 38.5 사이즈,"820,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B5%AC%EB%91%90-38-5-%EC%82%AC%EC%9D%B4%EC%A6%88-bmjxjf76zzug/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,마놀로블라닉 새 상품,"1,100,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A7%88%EB%86%80%EB%A1%9C%EB%B8%94%EB%9D%BC%EB%8B%89-%EC%83%88-%EC%83%81%ED%92%88-yh5s78b13ex1/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성잡화,레이디 디올백 스몰,"4,500,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A0%88%EC%9D%B4%EB%94%94-%EB%94%94%EC%98%AC%EB%B0%B1-%EC%8A%A4%EB%AA%B0-ew7q7rnuva8v/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
