카테고리,상품명,가격,작성일자,판매상태,URL
가공식품,레터링 생일 케이크 가져가실분 계실까요?,나눔,2시간 전,예약중,https://www.daangn.com/kr/buy-sell/%EB%A0%88%ED%84%B0%EB%A7%81-%EC%83%9D%EC%9D%BC-%EC%BC%80%EC%9D%B4%ED%81%AC-%EA%B0%80%EC%A0%B8%EA%B0%80%EC%8B%A4%EB%B6%84-%EA%B3%84%EC%8B%A4%EA%B9%8C%EC%9A%94-55b6j14fshq3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,로웰 웰업 콤부차 얼그레이 판매합니다,"6,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A1%9C%EC%9B%B0-%EC%9B%B0%EC%97%85-%EC%BD%A4%EB%B6%80%EC%B0%A8-%EC%96%BC%EA%B7%B8%EB%A0%88%EC%9D%B4-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-jf1jxke2sdak/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,사과 무료나눔,나눔,5시간 전,판매완료,https://www.daangn.com/kr/buy-sell/%EC%82%AC%EA%B3%BC-%EB%AC%B4%EB%A3%8C%EB%82%98%EB%88%94-qw85y8gjnvzb/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,SIB 엑스트라 다크 코코아 파우더,"20,000원",끌올 6시간 전,판매중,https://www.daangn.com/kr/buy-sell/sib-%EC%97%91%EC%8A%A4%ED%8A%B8%EB%9D%BC-%EB%8B%A4%ED%81%AC-%EC%BD%94%EC%BD%94%EC%95%84-%ED%8C%8C%EC%9A%B0%EB%8D%94-4e4itnk1ou1d/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,프랑스 시뇨리니타르투피 트러플소금 30g (새상품),"20,000원",끌올 8시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%94%84%EB%9E%91%EC%8A%A4-%EC%8B%9C%EB%87%A8%EB%A6%AC%EB%8B%88%ED%83%80%EB%A5%B4%ED%88%AC%ED%94%BC-%ED%8A%B8%EB%9F%AC%ED%94%8C%EC%86%8C%EA%B8%88-30g-%EC%83%88%EC%83%81%ED%92%88-jmziqjsqwnko/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,[새상품] 구포국수 세트 (개당 310g 짜리 5봉지 세트),"8,000원",8시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EA%B5%AC%ED%8F%AC%EA%B5%AD%EC%88%98-%EC%84%B8%ED%8A%B8-%EA%B0%9C%EB%8B%B9-310g-%EC%A7%9C%EB%A6%AC-5%EB%B4%89%EC%A7%80-%EC%84%B8%ED%8A%B8-jbvi1ad5wzwq/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,커피 원두 400g씩 판매합니다,"20,000원",13시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BB%A4%ED%94%BC-%EC%9B%90%EB%91%90-400g%EC%94%A9-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-kuk5oo2w7qo2/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,팀홀튼 프렌치바닐라 454g,"28,000원",끌올 14시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8C%80%ED%99%80%ED%8A%BC-%ED%94%84%EB%A0%8C%EC%B9%98%EB%B0%94%EB%8B%90%EB%9D%BC-454g-o6nmi3952mg2/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,6곡 생식 6미7곡물 이상수 다이어트 새상품 팔아요,"70,000원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/6%EA%B3%A1-%EC%83%9D%EC%8B%9D-6%EB%AF%B87%EA%B3%A1%EB%AC%BC-%EC%9D%B4%EC%83%81%EC%88%98-%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8-%EC%83%88%EC%83%81%ED%92%88-%ED%8C%94%EC%95%84%EC%9A%94-2wqemg69umdi/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가공식품,카누 마일드 로스트 미니 300개,"48,000원",끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B9%B4%EB%88%84-%EB%A7%88%EC%9D%BC%EB%93%9C-%EB%A1%9C%EC%8A%A4%ED%8A%B8-%EB%AF%B8%EB%8B%88-300%EA%B0%9C-u78azcmp5twg/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
