카테고리,상품명,가격,작성일자,판매상태,URL
가구/인테리어,급처 27일까지 가져가실분 아쿠아텍스 4인용 쇼파,"150,000원",9분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B8%89%EC%B2%98-27%EC%9D%BC%EA%B9%8C%EC%A7%80-%EA%B0%80%EC%A0%B8%EA%B0%80%EC%8B%A4%EB%B6%84-%EC%95%84%EC%BF%A0%EC%95%84%ED%85%8D%EC%8A%A4-4%EC%9D%B8%EC%9A%A9-%EC%87%BC%ED%8C%8C-8hitrineiw7z/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,접이식 매트리스 팔아요,"10,000원",14분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%91%EC%9D%B4%EC%8B%9D-%EB%A7%A4%ED%8A%B8%EB%A6%AC%EC%8A%A4-%ED%8C%94%EC%95%84%EC%9A%94-u83rkmpgqfmp/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,웨스트엘름 사이드테이블,"70,000원",17분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9B%A8%EC%8A%A4%ED%8A%B8%EC%97%98%EB%A6%84-%EC%82%AC%EC%9D%B4%EB%93%9C%ED%85%8C%EC%9D%B4%EB%B8%94-akrwbsjgr8h6/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,MAGIS 마지스 서랍 팝니다.,"300,000원",18분 전,판매중,https://www.daangn.com/kr/buy-sell/magis-%EB%A7%88%EC%A7%80%EC%8A%A4-%EC%84%9C%EB%9E%8D-%ED%8C%9D%EB%8B%88%EB%8B%A4-3pbkk41inxha/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,침대프레임 킹,"300,000원",끌올 22분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B9%A8%EB%8C%80%ED%94%84%EB%A0%88%EC%9E%84-%ED%82%B9-ku3b35qiz9xj/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,(중고/원가9만원) 의자 체어매트 / 영국산 / FLOORTEX Uno 매트 119,"8,000원",끌올 31분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A4%91%EA%B3%A0-%EC%9B%90%EA%B0%809%EB%A7%8C%EC%9B%90-%EC%9D%98%EC%9E%90-%EC%B2%B4%EC%96%B4%EB%A7%A4%ED%8A%B8-%EC%98%81%EA%B5%AD%EC%82%B0-floortex-uno-%EB%A7%A4%ED%8A%B8-119-gnop1tzgmzvr/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,면 자카드 커튼 두장,"22,000원",끌올 32분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A9%B4-%EC%9E%90%EC%B9%B4%EB%93%9C-%EC%BB%A4%ED%8A%BC-%EB%91%90%EC%9E%A5-c3vce3pev8n2/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,딥디크 튜베로즈 샌티드 캔들 190g,"53,000원",끌올 32분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%94%A5%EB%94%94%ED%81%AC-%ED%8A%9C%EB%B2%A0%EB%A1%9C%EC%A6%88-%EC%83%8C%ED%8B%B0%EB%93%9C-%EC%BA%94%EB%93%A4-190g-r6ggbm95v1hb/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,"명품가구 B&B 이탈리아, 사이드테이블","1,300,000원",34분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AA%85%ED%92%88%EA%B0%80%EA%B5%AC-b-b-%EC%9D%B4%ED%83%88%EB%A6%AC%EC%95%84-%EC%82%AC%EC%9D%B4%EB%93%9C%ED%85%8C%EC%9D%B4%EB%B8%94-d13as3rmy8ss/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,바 의자,나눔,46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B0%94-%EC%9D%98%EC%9E%90-mbwa7obh9z7t/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,미국 빈티지 4구 액자,"30,000원",56분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B5%AD-%EB%B9%88%ED%8B%B0%EC%A7%80-4%EA%B5%AC-%EC%95%A1%EC%9E%90-hsycrhrtax99/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,크나르드룹 러그 160x230 라이트그레이,"140,000원",끌올 58분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%81%AC%EB%82%98%EB%A5%B4%EB%93%9C%EB%A3%B9-%EB%9F%AC%EA%B7%B8-160x230-%EB%9D%BC%EC%9D%B4%ED%8A%B8%EA%B7%B8%EB%A0%88%EC%9D%B4-qwu7zwo1rujo/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,디자인벤쳐스 벽시계🕰️,"20,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%94%94%EC%9E%90%EC%9D%B8%EB%B2%A4%EC%B3%90%EC%8A%A4-%EB%B2%BD%EC%8B%9C%EA%B3%84-tzh48ejbdj91/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,원목 철제 벤치,"40,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9B%90%EB%AA%A9-%EC%B2%A0%EC%A0%9C-%EB%B2%A4%EC%B9%98-wqm8ne928s9f/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,원목 바 테이블 의자,"20,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9B%90%EB%AA%A9-%EB%B0%94-%ED%85%8C%EC%9D%B4%EB%B8%94-%EC%9D%98%EC%9E%90-uyi7d5dy5oky/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,앤틱 스타일 가죽 소파 급처,"350,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A4%ED%8B%B1-%EC%8A%A4%ED%83%80%EC%9D%BC-%EA%B0%80%EC%A3%BD-%EC%86%8C%ED%8C%8C-%EA%B8%89%EC%B2%98-ybzmuwxoo1bv/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,그린벨벳 커튼,"1,500,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B7%B8%EB%A6%B0%EB%B2%A8%EB%B2%B3-%EC%BB%A4%ED%8A%BC-t7sib5idvjkj/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,도쿄 장인 수제 물방울 유리화병,"41,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%8F%84%EC%BF%84-%EC%9E%A5%EC%9D%B8-%EC%88%98%EC%A0%9C-%EB%AC%BC%EB%B0%A9%EC%9A%B8-%EC%9C%A0%EB%A6%AC%ED%99%94%EB%B3%91-6xrhqoezjxt3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,핑크 벨벳 의자 골드 다리,"37,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%95%91%ED%81%AC-%EB%B2%A8%EB%B2%B3-%EC%9D%98%EC%9E%90-%EA%B3%A8%EB%93%9C-%EB%8B%A4%EB%A6%AC-cs53mxzksriu/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,식탁,"200,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8B%9D%ED%83%81-qehnxmv1g354/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,초고급원목 찻상,"300,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B4%88%EA%B3%A0%EA%B8%89%EC%9B%90%EB%AA%A9-%EC%B0%BB%EC%83%81-hjwep7776oyk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,아르떼미데 테이블 램프,"250,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EB%A5%B4%EB%96%BC%EB%AF%B8%EB%8D%B0-%ED%85%8C%EC%9D%B4%EB%B8%94-%EB%9E%A8%ED%94%84-exr41gsnya29/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
가구/인테리어,꾸까캔들,"35,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%BE%B8%EA%B9%8C%EC%BA%94%EB%93%A4-b85yb1zcx49s/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
