카테고리,상품명,가격,작성일자,판매상태,URL
디지털기기,CPU AMD RYZEN5 2400 데스크탑 피씨 1대 (3대있음),"210,000원",끌올 29분 전,판매중,https://www.daangn.com/kr/buy-sell/cpu-amd-ryzen5-2400-%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91-%ED%94%BC%EC%94%A8-1%EB%8C%80-3%EB%8C%80%EC%9E%88%EC%9D%8C-hfyptt36qzhw/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,(성능X) 에어팟 1세대 / 유선충전,"15,000원",끌올 31분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%84%B1%EB%8A%A5x-%EC%97%90%EC%96%B4%ED%8C%9F-1%EC%84%B8%EB%8C%80-%EC%9C%A0%EC%84%A0%EC%B6%A9%EC%A0%84-g4cf47g2vdyo/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,7800x3d 게이밍 컴퓨터 본체 팝니다,"1,750,000원",38분 전,판매중,https://www.daangn.com/kr/buy-sell/7800x3d-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EC%BB%B4%ED%93%A8%ED%84%B0-%EB%B3%B8%EC%B2%B4-%ED%8C%9D%EB%8B%88%EB%8B%A4-y8w2t8dnmudm/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,갤럭시워치 밀레니즈루프 20mm,"5,000원",끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EC%9B%8C%EC%B9%98-%EB%B0%80%EB%A0%88%EB%8B%88%EC%A6%88%EB%A3%A8%ED%94%84-20mm-kwngww41vtkk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,TV리모컨,"5,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/tv%EB%A6%AC%EB%AA%A8%EC%BB%A8-snwvwq18kgoa/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,Ifi ZEN DAC V2,"150,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/ifi-zen-dac-v2-v7km2jq79w4p/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,아이폰16PRO 512기가 데저트골드,"1,500,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B016pro-512%EA%B8%B0%EA%B0%80-%EB%8D%B0%EC%A0%80%ED%8A%B8%EA%B3%A8%EB%93%9C-jaait3z8poy3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,케이스티파이 아이폰14프로 케이스,"50,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BC%80%EC%9D%B4%EC%8A%A4%ED%8B%B0%ED%8C%8C%EC%9D%B4-%EC%95%84%EC%9D%B4%ED%8F%B014%ED%94%84%EB%A1%9C-%EC%BC%80%EC%9D%B4%EC%8A%A4-48f61u6m3bmr/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,애플 매직 블루투스 키보드 A1314,"26,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A0%ED%94%8C-%EB%A7%A4%EC%A7%81-%EB%B8%94%EB%A3%A8%ED%88%AC%EC%8A%A4-%ED%82%A4%EB%B3%B4%EB%93%9C-a1314-i2hind3cmb4o/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,엑스툴 레이저 각인기,"1,900,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%91%EC%8A%A4%ED%88%B4-%EB%A0%88%EC%9D%B4%EC%A0%80-%EA%B0%81%EC%9D%B8%EA%B8%B0-p96d87vuz32b/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,Keychron K5 Pro Max 키크론 K5(새상품),"109,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/keychron-k5-pro-max-%ED%82%A4%ED%81%AC%EB%A1%A0-k5-%EC%83%88%EC%83%81%ED%92%88-7xdyf4f4hure/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,(애케플)아이폰 15 Pro 256GB 블루 티타늄 판매합니다,"1,200,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%A0%EC%BC%80%ED%94%8C-%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-256gb-%EB%B8%94%EB%A3%A8-%ED%8B%B0%ED%83%80%EB%8A%84-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-jcvtvemu1g7o/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,갤럭시 탭 9 플러스 256,"700,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-%ED%83%AD-9-%ED%94%8C%EB%9F%AC%EC%8A%A4-256-2n2r2ty6m68q/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,TTartisan 50mm f1.4 ASPH,"370,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/ttartisan-50mm-f1-4-asph-1iru9ygsf95n/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
디지털기기,갤럭시 S23 울트라 블랙,"650,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s23-%EC%9A%B8%ED%8A%B8%EB%9D%BC-%EB%B8%94%EB%9E%99-afuj8rvwajjo/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
