카테고리,상품명,가격,작성일자,판매상태,URL
생활/주방,"법랑, 도자기 접시","5,000원",끌올 17분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%95%EB%9E%91-%EB%8F%84%EC%9E%90%EA%B8%B0-%EC%A0%91%EC%8B%9C-5ffjige3x5cd/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,카카오프렌즈 자물쇠 키링 세트,"5,000원",끌올 22분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%94%84%EB%A0%8C%EC%A6%88-%EC%9E%90%EB%AC%BC%EC%87%A0-%ED%82%A4%EB%A7%81-%EC%84%B8%ED%8A%B8-nqvq35xxsk5a/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,"갤러리아구입, 트레이팝니다.","20,000원",39분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AC%EB%A6%AC%EC%95%84%EA%B5%AC%EC%9E%85-%ED%8A%B8%EB%A0%88%EC%9D%B4%ED%8C%9D%EB%8B%88%EB%8B%A4-7za3yvgpgcox/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,빌리레이앤보흐 부부 커피잔팝니다.,"50,000원",41분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B9%8C%EB%A6%AC%EB%A0%88%EC%9D%B4%EC%95%A4%EB%B3%B4%ED%9D%90-%EB%B6%80%EB%B6%80-%EC%BB%A4%ED%94%BC%EC%9E%94%ED%8C%9D%EB%8B%88%EB%8B%A4-fmsug8c2thx7/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,치이카와 컵 머들러 세트 새상품 (이디야),"12,000원",42분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B9%98%EC%9D%B4%EC%B9%B4%EC%99%80-%EC%BB%B5-%EB%A8%B8%EB%93%A4%EB%9F%AC-%EC%84%B8%ED%8A%B8-%EC%83%88%EC%83%81%ED%92%88-%EC%9D%B4%EB%94%94%EC%95%BC-cxf5ewockmqz/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,빌레로이앤보흐 샐러드보울+소스그릇 팝니다.,"20,000원",45분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B9%8C%EB%A0%88%EB%A1%9C%EC%9D%B4%EC%95%A4%EB%B3%B4%ED%9D%90-%EC%83%90%EB%9F%AC%EB%93%9C%EB%B3%B4%EC%9A%B8-%EC%86%8C%EC%8A%A4%EA%B7%B8%EB%A6%87-%ED%8C%9D%EB%8B%88%EB%8B%A4-6doy8p54fgrx/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,윌리엄소노마 래빗시리즈 그릇/접시 팝니다.,"60,000원",47분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%9C%8C%EB%A6%AC%EC%97%84%EC%86%8C%EB%85%B8%EB%A7%88-%EB%9E%98%EB%B9%97%EC%8B%9C%EB%A6%AC%EC%A6%88-%EA%B7%B8%EB%A6%87-%EC%A0%91%EC%8B%9C-%ED%8C%9D%EB%8B%88%EB%8B%A4-nk1hj2od9fso/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,레녹스 깊은보울+디저트접시3,"50,000원",50분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A0%88%EB%85%B9%EC%8A%A4-%EA%B9%8A%EC%9D%80%EB%B3%B4%EC%9A%B8-%EB%94%94%EC%A0%80%ED%8A%B8%EC%A0%91%EC%8B%9C3-mjsfphf3hmee/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,나무도마 팝니다. ORANA 호주산,"30,000원",끌올 53분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%82%98%EB%AC%B4%EB%8F%84%EB%A7%88-%ED%8C%9D%EB%8B%88%EB%8B%A4-orana-%ED%98%B8%EC%A3%BC%EC%82%B0-k5tsajm716th/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활/주방,크리스탈 유리잔,"1,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%83%88-%EC%9C%A0%EB%A6%AC%EC%9E%94-tntin9aocxyg/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
