카테고리,상품명,가격,작성일자,판매상태,URL
티켓/교환권,스타벅스 프리퀀시(일반1개+미션1개),"7,000원",23분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EC%9D%BC%EB%B0%981%EA%B0%9C-%EB%AF%B8%EC%85%981%EA%B0%9C-fi1cjvxgmyb8/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,신세계상품권 10만원 10매 100만원,"970,000원",36분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EC%84%B8%EA%B3%84%EC%83%81%ED%92%88%EA%B6%8C-10%EB%A7%8C%EC%9B%90-10%EB%A7%A4-100%EB%A7%8C%EC%9B%90-isryr6u3cy7v/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,스타벅스 프리퀀시 일반 5개 일괄,"15,000원",1시간 전,판매완료,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EC%9D%BC%EB%B0%98-5%EA%B0%9C-%EC%9D%BC%EA%B4%84-fsfuyorny2ot/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,빽다방 아메리카노 오늘까지,"1,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B9%BD%EB%8B%A4%EB%B0%A9-%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8-%EC%98%A4%EB%8A%98%EA%B9%8C%EC%A7%80-mdnsfb9jzn9k/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,"스타벅스 e-프리퀀시 일반2, 미션1 판매합니다!","3,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-e-%ED%94%84%EB%A6%AC%ED%80%80%EC%8B%9C-%EC%9D%BC%EB%B0%982-%EB%AF%B8%EC%85%981-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-8k16cn7ftr5v/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,파리바게뜨 딸기 생크림 케이크 1호,"25,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%8C%8C%EB%A6%AC%EB%B0%94%EA%B2%8C%EB%9C%A8-%EB%94%B8%EA%B8%B0-%EC%83%9D%ED%81%AC%EB%A6%BC-%EC%BC%80%EC%9D%B4%ED%81%AC-1%ED%98%B8-kryvb1sr9jza/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,"연극 킬링시저 티켓 2장 (장당 3만원, 5월 28일 수요일)","20,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%97%B0%EA%B7%B9-%ED%82%AC%EB%A7%81%EC%8B%9C%EC%A0%80-%ED%8B%B0%EC%BC%93-2%EC%9E%A5-%EC%9E%A5%EB%8B%B9-3%EB%A7%8C%EC%9B%90-5%EC%9B%94-28%EC%9D%BC-%EC%88%98%EC%9A%94%EC%9D%BC-gjvnvogoh4c7/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,LG U+ 엘지 유플러스 데0l터,"2,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/lg-u-%EC%97%98%EC%A7%80-%EC%9C%A0%ED%94%8C%EB%9F%AC%EC%8A%A4-%EB%8D%B00l%ED%84%B0-bis349o4tcmn/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,베스킨라빈스,"30,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%A0%EC%8A%A4%ED%82%A8%EB%9D%BC%EB%B9%88%EC%8A%A4-587h4s4egkde/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
티켓/교환권,교촌 허니콤보+콜라 기프티콘,"23,000원",3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B5%90%EC%B4%8C-%ED%97%88%EB%8B%88%EC%BD%A4%EB%B3%B4-%EC%BD%9C%EB%9D%BC-%EA%B8%B0%ED%94%84%ED%8B%B0%EC%BD%98-bx8gzd9a2i7y/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
