카테고리,상품명,가격,작성일자,판매상태,URL
여성의류,헤이에스 원피스 S 새상품,"50,000원",끌올 17분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%97%A4%EC%9D%B4%EC%97%90%EC%8A%A4-%EC%9B%90%ED%94%BC%EC%8A%A4-s-%EC%83%88%EC%83%81%ED%92%88-aud52kie8nyh/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,후드 베이지 코튼 점퍼-새제품,"50,000원",18분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%9B%84%EB%93%9C-%EB%B2%A0%EC%9D%B4%EC%A7%80-%EC%BD%94%ED%8A%BC-%EC%A0%90%ED%8D%BC-%EC%83%88%EC%A0%9C%ED%92%88-noavwqcofjf7/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,(새상품) 무인양품 원피스,"40,000원",끌올 19분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EB%AC%B4%EC%9D%B8%EC%96%91%ED%92%88-%EC%9B%90%ED%94%BC%EC%8A%A4-uwof2gc5wbov/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,갭 gap 여성 거디건 s,"20,000원",끌올 20분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%AD-gap-%EC%97%AC%EC%84%B1-%EA%B1%B0%EB%94%94%EA%B1%B4-s-mcimp6hvusqv/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,마인 MINE 핀턱 세미 스트레이트 9부 팬츠(55사이즈),"19,000원",끌올 20분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A7%88%EC%9D%B8-mine-%ED%95%80%ED%84%B1-%EC%84%B8%EB%AF%B8-%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%9D%B4%ED%8A%B8-9%EB%B6%80-%ED%8C%AC%EC%B8%A0-55%EC%82%AC%EC%9D%B4%EC%A6%88-nfikew7kskdg/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,버버리 퀄팅 다이야몬드 스몰,"750,000원",끌올 20분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%84%EB%B2%84%EB%A6%AC-%ED%80%84%ED%8C%85-%EB%8B%A4%EC%9D%B4%EC%95%BC%EB%AA%AC%EB%93%9C-%EC%8A%A4%EB%AA%B0-gejriy599zqo/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,톰브라운 실크 40싸이즈,"1,250,000원",끌올 20분 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%86%B0%EB%B8%8C%EB%9D%BC%EC%9A%B4-%EC%8B%A4%ED%81%AC-40%EC%8B%B8%EC%9D%B4%EC%A6%88-h29u8vb3atrn/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,루이비통 시그니처 코트 36싸이즈,"4,300,000원",끌올 20분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A3%A8%EC%9D%B4%EB%B9%84%ED%86%B5-%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98-%EC%BD%94%ED%8A%B8-36%EC%8B%B8%EC%9D%B4%EC%A6%88-jb979f4bqrx3/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,기은세 온앤온 꽃무늬 원피스-한번 시착,"150,000원",21분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B8%B0%EC%9D%80%EC%84%B8-%EC%98%A8%EC%95%A4%EC%98%A8-%EA%BD%83%EB%AC%B4%EB%8A%AC-%EC%9B%90%ED%94%BC%EC%8A%A4-%ED%95%9C%EB%B2%88-%EC%8B%9C%EC%B0%A9-2sch5em5n51t/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
여성의류,(새상품) 마쥬 핑크 플리츠 롱원피스 1사이즈,"130,000원",끌올 22분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EB%A7%88%EC%A5%AC-%ED%95%91%ED%81%AC-%ED%94%8C%EB%A6%AC%EC%B8%A0-%EB%A1%B1%EC%9B%90%ED%94%BC%EC%8A%A4-1%EC%82%AC%EC%9D%B4%EC%A6%88-p8x7z5vz5xze/?in=%EC%97%AD%EC%82%BC%EB%8F%99-6035
