카테고리,상품명,가격,작성일자,판매상태,URL
생활가전,쿠쿠내솥 6인용 (스마트 IH 내솥),"35,000원",33분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%BF%A0%EC%BF%A0%EB%82%B4%EC%86%A5-6%EC%9D%B8%EC%9A%A9-%EC%8A%A4%EB%A7%88%ED%8A%B8-ih-%EB%82%B4%EC%86%A5-5ymebqnh6k98/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,스웨덴가습기 팝니다. LUFTEUM,나눔,끌올 38분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%EC%9B%A8%EB%8D%B4%EA%B0%80%EC%8A%B5%EA%B8%B0-%ED%8C%9D%EB%8B%88%EB%8B%A4-lufteum-vrw3w92wogjk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,암웨이 eSpring 정수기,"50,000원",1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%94%EC%9B%A8%EC%9D%B4-espring-%EC%A0%95%EC%88%98%EA%B8%B0-56yxxa2w8ek3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,휴먼네이쳐 온열 찜질기 새상품,"20,000원",2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%ED%9C%B4%EB%A8%BC%EB%84%A4%EC%9D%B4%EC%B3%90-%EC%98%A8%EC%97%B4-%EC%B0%9C%EC%A7%88%EA%B8%B0-%EC%83%88%EC%83%81%ED%92%88-jyqhxiv74p6j/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,CAS 체중계,나눔,2시간 전,예약중,https://www.daangn.com/kr/buy-sell/cas-%EC%B2%B4%EC%A4%91%EA%B3%84-isbyc1ar5ygk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,삼성 3도어 635 리터 냉장고 새상품 팝니다!,"400,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-3%EB%8F%84%EC%96%B4-635-%EB%A6%AC%ED%84%B0-%EB%83%89%EC%9E%A5%EA%B3%A0-%EC%83%88%EC%83%81%ED%92%88-%ED%8C%9D%EB%8B%88%EB%8B%A4-gb69zhday5mf/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,썬스타 공업용미싱 KM-235BS,"480,000원",끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%8D%AC%EC%8A%A4%ED%83%80-%EA%B3%B5%EC%97%85%EC%9A%A9%EB%AF%B8%EC%8B%B1-km-235bs-24gxnsbngv4t/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,AGK 소르담 제빙기,"110,000원",끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/agk-%EC%86%8C%EB%A5%B4%EB%8B%B4-%EC%A0%9C%EB%B9%99%EA%B8%B0-ib54e4fspnky/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,LG 퓨리케어 360 공기청정기 알파,"80,000원",4시간 전,판매중,https://www.daangn.com/kr/buy-sell/lg-%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-360-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0-%EC%95%8C%ED%8C%8C-gygagjo42jpi/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
생활가전,비스카 벽걸이 선풍기,"30,000원",끌올 4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B9%84%EC%8A%A4%EC%B9%B4-%EB%B2%BD%EA%B1%B8%EC%9D%B4-%EC%84%A0%ED%92%8D%EA%B8%B0-upp4x2gq22yv/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386
